Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Wilson,Ultra 100 v3,100 in² / 645.16 cm²,Very high - 90% (73 RA),50-60 pounds,Carbon Fiber Graphite,Low-Medium,Medium-Fast
Wilson,Ultra 100L,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-60 pounds,Carbon Fiber,Low-Medium,Medium-Fast
Wilson,Ultra 100L BOLD,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-60 pounds,Carbon Fiber Graphite,Low-Medium,Medium-Fast
Wilson,Ultra 100L v3,100 in² / 645.16 cm²,High - 66% (68 RA),50-60 pounds,Carbon Fiber Graphite,Low-Medium,Medium-Fast
Wilson,Ultra 100UL,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-60 pounds,Carbon Fiber,Medium-High,Medium-Fast
Wilson,Ultra 100UL v3,100 in² / 645.16 cm²,High - 66% (68 RA),50-60 pounds,Carbon Fiber Graphite,Low-Medium,Medium-Fast
Wilson,Ultra 103S,103 sq. in. / 664.51 sq. cm.,Very high - 85% (72 RA),50-60 pounds,Carbon Fiber,Medium,Medium-Fast
Wilson,Ultra 105S Countervail,105 sq. in. / 677.42 sq. cm.,Very high - 80% (71 RA),50-60 pounds,Carbon Fiber/Countervail,Medium,Medium
Wilson,Ultra 108,108 sq. in. / 696.77 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Carbon Fiber,Medium-High,Medium
Wilson,Ultra 108 v3,108 in² / 696.77 cm²,High - 71% (69 RA),53-63 pounds,Carbon Fiber Graphite,Medium-High,Slow-Moderate
Wilson,Ultra 110,110 sq. in. / 709.68 sq. cm.,High - 71% (69 RA),50-60 pounds,Carbon Fiber,Medium,Medium
Wilson,Ultra 97,97 sq. in. / 625.81 sq. cm.,Average - 47% (64 RA),50-60 pounds,Carbon Fiber,Low-Medium,Fast
Wilson,Ultra Tour,97 sq. in. / 625.81 sq. cm.,Average - 42% (63 RA),50-60 pounds,Graphite,Low,Fast
Wilson,Ultra XP 100LS,100 sq. in. / 645 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Carbon Fiber,High,Fast
Wilson,Ultra XP 100S,100 sq. in. / 645 sq. cm.,High - 76% (70 RA),50-60 pounds,Carbon Fiber,High,Fast
Wilson,Ultra XP 110S,110 sq. in. / 709.68 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Carbon Fiber,High,Fast
Wilson,XP1,110 sq. in. / 709.68 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Carbon Fiber,Medium-High,Slow-Medium
