Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Prokennex,Ki Q+ Tour Pro 315,98 in / 632.26 cm,Low - 28% (60 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q+ Tour Pro 325,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q+15 (285),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+15 Light (260g),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+30 (260),119 sq. in. / 767.74 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/Spiral Tech Carbon,High,Slow
Prokennex,Ki Q+5 (290),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+5 Pro (310),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+5X Pro (310),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+Tour (300),98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Fast
Prokennex,Ki Q+Tour Pro (325),98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q15 (260),105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium,Medium
Prokennex,Ki Q15 (280),105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium-High,Medium
Prokennex,Ki Q15 (310),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium,Medium
Prokennex,Ki Q30 (260),119 sq. in. / 767.74 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite / Spiral Tech Carbon,High,Slow
Prokennex,Ki QTour,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),55-68 pounds,Spiral Tech Carbon,Low,Fast
Prokennex,Kinetic 15G Light,,,,,,
Prokennex,Kinetic Ki Q5 (295g),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,Spiral Tech Carbon,Medium,Medium
Prokennex,Kinetic Ki Q5 (315g),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Kinetic Ki Q5X,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Kinetic Pro 15G Light,,,,,,
Prokennex,Kinetic Pro 5G Classic,,,,,,
Prokennex,Kinetic Pro 7G,,,,,,
Prokennex,Kinetic Q5 (295g),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Kinetic Q5 (315) 2013,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Kinetic Q5 (315g),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Kinetic Q5 X,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Q Tour (300),98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Fast
Prokennex,Q Tour 2013,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),55-68 pounds,Spiral Tech Carbon,Low,Fast
Prokennex,Q15,105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),52-68 pounds,100% Ultra-High Modulus Graphite with Ionic-AKS,Medium-High,Medium
Prokennex,Q15 (260),105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium,Medium
Prokennex,Q15 (280),105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium-High,Medium
Prokennex,Q15 (310),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Medium,Medium
Prokennex,Q30,119 sq. in. / 767.74 sq. cm.,High - 61% (67 RA),52-68 pounds,100% Ultra-High Modulus Graphite with Ionic-AKS,High,Slow
Prokennex,Q5 (295),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Q5 (315),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Q5 X,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Q5 X 2013,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,QTour 295,98 sq. in. / 632 sq. cm.,Very low - 14% (57 RA),50-65 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
