Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Head,Instinct Limited Edition MP Reverse Racquet,100 in² / 645.16 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Liquidmetal 4,,,,,,
Head,Liquidmetal 8,,,,,,
Head,LTD Graphene Radical Midplus,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,MicroGEL Radical Midplus,,,,,,
Head,MicroGEL Radical Oversize,,,,,,
Head,MXG 1,98 sq. in. / 632.25 sq. cm.,High - 76% (70 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Medium-Fast
Head,MXG 3,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Medium-Fast
Head,MXG 5,105 sq. in. / 677.42 sq. cm.,High - 66% (68 RA),48-57 pounds,Graphite/Graphene Touch,Medium,Medium
Head,MXG 7,115 sq. in. / 741.93 sq. cm.,High - 71% (69 RA),45-57 pounds,Graphene Touch/Graphite,Medium,Medium
Head,Pro Tour 2.0,97.6in² / 630 cm,Average - 52% (65 RA),50-60 pounds,Graphite,Low,Fast
Head,Radical MP 2021,98 in / 632.26 cm,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Radical Pro 2021,98 in / 632.26 cm,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Radical S 2021,102 in2 / 658.06 cm2,Average - 42% (63 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Speed X Limited Edition MP,100 in² / 645.16 cm²,Average - 42% (63 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Speed X Limited Edition S,100 in² / 645.16 cm²,High - 71% (69 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Titanium Ti.S2,107 sq. in. / 690 sq. cm.,High - 66% (68 RA),55-64 pounds,Graphite/Titanium Composite,Medium-High,Slow-Moderate
Head,Titanium Ti.S5,107 sq. in. / 690 sq. cm.,High - 66% (68 RA),55-64 pounds,Graphite/Titanium Composite,Medium-High,Slow-Moderate
Head,Titanium Ti.S5 Comfort Zone,,,,,,
Head,Titanium Ti.S6,115 sq. in. / 742 sq. cm.,Very high - 100% (75 RA),57-66 pounds,Graphite/Titanium Composite,High,Slow-Moderate
Head,Titanium Ti.S6x,,,,,,
Head,YOUTEK IG Extreme MP 2.0,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-60 pounds,d3o / Innegra / Graphite,Low-Medium,Medium-Fast
Head,YOUTEK IG Extreme Pro 2.0,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-60 pounds,d30 / Innegra / Graphite,Low-Medium,Medium-Fast
Head,YOUTEK IG Extreme S 2.0,107 sq. in. / 690.32 sq. cm.,Very high - 80% (71 RA),50-60 pounds,d30 / Innegra / Graphite,Medium,Medium
Head,YOUTEK IG Prestige Mid,93 sq. in. / 600 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphite / Innegra / d3o,Low,Fast
Head,YOUTEK IG Prestige S,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),48-57 pounds,d3o / Innegra / Graphite,Low-Medium,Medium-Fast
Head,YOUTEK IG Radical S,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphite / Innegra / d3o,Medium,Medium
Head,YOUTEK IG Raptor OS,110 sq. in. / 709.68 sq. cm.,,52-62 pounds,YouTek - d3o™ / Teflon®,Medium-High,
Head,YOUTEK IG Speed Lite,102 sq. in. / 658 sq. cm.,High - 61% (67 RA),52-62 pounds,d3o / Innegra / Graphite,Low-Medium,Medium-Fast
