Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Yonex,V-Con 17 OS,107 sq. in. / 690.32 sq. cm.,Very high - 80% (71 RA),50-60 pounds,Graphite,,
Yonex,VCORE 100,100 in / 645.16 cm,Average - 57% (66 RA),45-60 pounds,HM Graphite/2G-Namd,Low-Medium,Medium-Fast
Yonex,VCORE 100 (280),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 100 (300),100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 100+,100 in² / 645.16 cm²,High - 66% (68 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 100L,100 in / 645.16 cm,Average - 57% (66 RA),45-60 pounds,H.M. Graphite/2G-Namd,Low-Medium,Medium-Fast
Yonex,VCORE 95,95 sq. in. / 612.9 sq. cm.,Low - 38% (62 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low,Fast
Yonex,VCORE 95 Red,95 sq. in. / 612.9 sq. cm.,Low - 38% (62 RA),45-60 pounds,"H.M. Graphite, Nanometric XT, Namd",Low,Fast
Yonex,VCORE 98,98 in / 632.26 cm,Average - 57% (66 RA),45-60 pounds,HM Graphite/2G-Namd,Low-Medium,Medium-Fast
Yonex,VCORE 98 (285),98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 98 (285) Red,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),45-60 pounds,"H.M. Graphite, Nanometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 98 (305),98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 98 Limited,98 in² / 632.26 cm²,Average - 52% (65 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 98+,98 in² / 632.26 cm²,Average - 47% (64 RA),45-60 pounds,"H.M. Graphite, Naometric XT, Namd",Low-Medium,Medium-Fast
Yonex,VCORE 98L,98 in / 632.26 cm,Average - 52% (65 RA),45-60 pounds,H.M. Graphite/2G-Namd,Low-Medium,Medium-Fast
Yonex,VCORE Ace,98 in / 632.26 cm,Average - 57% (66 RA),40-55 pounds,H.M. Graphite,Low-Medium,Medium-Fast
Yonex,VCORE Duel G 100,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),50-65 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low-Medium,Fast
Yonex,VCORE Duel G 100 (300g),100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),50-65 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low-Medium,Fast
Yonex,VCORE Duel G 100 Lite,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),45-60 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low-Medium,Medium-Fast
Yonex,VCORE Duel G 97 (310g),97 sq. in. / 625.81 sq. cm.,Average - 47% (64 RA),50-65 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low,Fast
Yonex,VCORE Duel G 97 (330g),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-65 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low,Fast
Yonex,VCORE Duel G 97 (330g) (Wawrinka),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),50-65 pounds,H.M. Graphite w/Tough G Fiber & Black Micro Core,Low,Fast
Yonex,VCORE Feel,100 in / 645.16 cm,Average - 47% (64 RA),40-55 pounds,"H.M. Graphite, Nanomesh Neo",Low-Medium,Medium-Fast
Yonex,VCORE Pro 100 (280),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),45-60 pounds,"H.M. Graphite Black Micro Core, Namd",Low-Medium,Medium-Fast
Yonex,VCORE Pro 100 (300),100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),45-60 pounds,"H.M. Graphite Black Micro Core, Namd",Low-Medium,Medium-Fast
Yonex,VCORE Pro 97 (290),97 sq. in. / 625.81 sq. cm.,Average - 57% (66 RA),45-60 pounds,"H.M. Graphite Black Micro Core, Namd",Low-Medium,Medium-Fast
Yonex,VCORE Pro 97 (310),97 sq. in. / 625.81 sq. cm.,Average - 47% (64 RA),45-60 pounds,"H.M. Graphite Black Micro Core, Namd",Low,Fast
Yonex,VCORE Pro 97 (330),97 sq. in. / 625.81 sq. cm.,Average - 52% (65 RA),45-60 pounds,"H.M. Graphite Black Micro Core, Namd",Low,Fast
Yonex,VCORE Pro 97HD 18x20,97 in² / 625.81 cm²,Low - 23% (59 RA),45-60 pounds,"HM Graphite, Black Micro Core, NAMD",Low,Fast
