String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),51,Slow,Polyester,334.3,23.0,
Luxilon 4G 16L (1.25),51,Slow,Polyester,299.5,21.0,3.9
Luxilon 4G Rough 16L,51,Slow,Polyester,242.9,31.1,4.2
Luxilon 4G S 15,51,Slow,Polyester,361.8,23.0,
Luxilon 4G Soft 1.25,51,Slow,Polyester,249.7,25.0,6.7
Double AR 666 (1.30),51,Slow,Nylon,158.9,22.8,5.8
Gosen A.K. Control 16,51,Slow,Nylon,164.0,21.5,5.4
Babolat Addiction 16,51,Slow,Nylon,182.9,19.1,3.1
Babolat Addiction 17,51,Slow,Nylon,161.2,19.3,2.6
Luxilon Adrenaline 16,51,Slow,Polyester,267.5,45.1,3.6
Luxilon Adrenaline 16L/1.25,51,Slow,Polyester,208.0,44.0,3.5
Luxilon Adrenaline 17/1.20,51,Slow,Polyester,253.7,41.3,2.9
Luxilon Adrenaline Rough 16L/1.25,51,Slow,Polyester,254.3,44.1,3.3
Gosen AK Pro 16,51,Slow,Nylon,186.9,20.5,4.3
Gosen AK Pro 17,51,Slow,Nylon,171.5,19.6,4.4
Luxilon ALU Power 125/16L,51,Slow,Polyester,258.9,46.2,5.8
Luxilon ALU Power Feel 18/1.20,51,Slow,Polyester,216.0,39.3,5.4
Luxilon Alu Power Soft 1.25,51,Slow,Polyester,234.3,35.9,6.9
Klip Armour Pro 16/1.30,51,Slow,Gut,116.6,15.1,1.4
Gamma Asterisk 16,51,Slow,Nylon,162.9,19.9,3.8
Gamma Asterisk Spin 16,51,Slow,Nylon,148.0,23.2,3.9
Gamma Asterisk Tour 16,51,Slow,Nylon/Zyex,173.2,23.7,3.4
Pacific ATP Poly Power Pro 16L,51,Slow,Polyester,264.6,50.5,5.0
Babolat Attraction 16,51,Slow,Nylon/Polyurethane,165.7,19.3,2.7
IsoSpeed Axon Mono 16L,51,Slow,Polyester,228.6,34.0,3.2
IsoSpeed Axon Multi 16L,51,Slow,Nylon/Polyolefin,148.6,26.8,3.0
Babolat Ballistic Polymono 16,51,Slow,Polyester,280.6,45.9,4.7
Solinco Barb Wire 16,51,Slow,Polyester,261.7,39.5,4.4
Solinco Barb Wire 17 (1.20),51,Slow,Polyester,233.7,42.3,4.9
Prince Beast XP 16,51,Slow,Polyester,250.9,41.3,3.9
Luxilon Big Banger Ace 18 (1.12),51,Slow,Polyester,248.0,45.7,4.0
Luxilon Big Banger ALU Power Fluoro 17,51,Slow,Polyester,250.9,44.4,
Luxilon Big Banger ALU Power Spin 127/16,51,Slow,Polyester,256.6,44.6,4.3
Luxilon Big Banger Original 130/16,51,Slow,Polyester,265.2,51.2,4.8
Luxilon Big Banger Rough 130/16,51,Slow,Polyester,253.7,51.7,4.4
Luxilon Big Banger Timo 17 (1.22),51,Slow,Polyester,249.7,44.0,3.9
Luxilon Big Banger TiMO 17L (1.17),51,Slow,Polyester,249.2,45.3,4.4
Luxilon Big Banger Timo 18 (1.10),51,Slow,Polyester,240.0,45.0,3.6
Luxilon Big Banger XP 125/16L,51,Slow,Polyester,263.5,48.5,4.1
Luxilon Big Banger XP 15L (1.38),51,Slow,Polyester,284.6,47.7,3.6
Tourna Big Hitter 16,51,Slow,Polyester,286.3,39.3,
Tourna Big Hitter Black 7 17,51,Slow,Polyester,229.7,42.3,6.3
Tourna Big Hitter Blue 16,51,Slow,Polyester,290.9,36.9,
Tourna Big Hitter Blue 17,51,Slow,Polyester,263.5,35.7,4.9
