String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),40,Fast,Polyester,256.0,47.4,
Luxilon 4G 16L (1.25),40,Fast,Polyester,234.9,39.3,3.9
Luxilon 4G Rough 16L,40,Fast,Polyester,185.2,67.8,4.2
Luxilon 4G S 15,40,Fast,Polyester,269.7,45.6,
Luxilon 4G Soft 1.25,40,Fast,Polyester,193.2,37.3,6.7
Double AR 666 (1.30),40,Fast,Nylon,134.9,31.1,5.8
Gosen A.K. Control 16,40,Fast,Nylon,130.3,27.6,5.4
Babolat Addiction 16,40,Fast,Nylon,142.3,24.0,3.1
Babolat Addiction 17,40,Fast,Nylon,134.3,24.8,2.6
Luxilon Adrenaline 16,40,Fast,Polyester,179.5,58.3,3.6
Luxilon Adrenaline 16L/1.25,40,Fast,Polyester,178.3,55.8,3.5
Luxilon Adrenaline 17/1.20,40,Fast,Polyester,185.2,50.4,2.9
Luxilon Adrenaline Rough 16L/1.25,40,Fast,Polyester,172.0,59.4,3.3
Gosen AK Pro 16,40,Fast,Nylon,150.9,27.1,4.3
Gosen AK Pro 17,40,Fast,Nylon,144.6,24.4,4.4
Luxilon ALU Power 125/16L,40,Fast,Polyester,183.5,55.1,5.8
Luxilon ALU Power Feel 18/1.20,40,Fast,Polyester,153.7,67.3,5.4
Luxilon Alu Power Soft 1.25,40,Fast,Polyester,160.0,55.8,6.9
Klip Armour Pro 16/1.30,40,Fast,Gut,102.3,20.0,1.4
Gamma Asterisk 16,40,Fast,Nylon,133.2,23.4,3.8
Gamma Asterisk Spin 16,40,Fast,Nylon,121.2,28.1,3.9
Gamma Asterisk Tour 16,40,Fast,Nylon/Zyex,137.7,27.2,3.4
Pacific ATP Poly Power Pro 16L,40,Fast,Polyester,172.6,56.1,5.0
Babolat Attraction 16,40,Fast,Nylon/Polyurethane,138.9,24.8,2.7
IsoSpeed Axon Mono 16L,40,Fast,Polyester,175.5,37.9,3.2
IsoSpeed Axon Multi 16L,40,Fast,Nylon/Polyolefin,116.0,35.4,3.0
Babolat Ballistic Polymono 16,40,Fast,Polyester,201.7,52.2,4.7
Solinco Barb Wire 16,40,Fast,Polyester,196.6,45.2,4.4
Solinco Barb Wire 17 (1.20),40,Fast,Polyester,166.9,46.1,4.9
Prince Beast XP 16,40,Fast,Polyester,172.6,50.3,3.9
Luxilon Big Banger Ace 18 (1.12),40,Fast,Polyester,170.3,58.4,4.0
Luxilon Big Banger ALU Power Fluoro 17,40,Fast,Polyester,175.5,55.0,
Luxilon Big Banger ALU Power Spin 127/16,40,Fast,Polyester,185.2,55.6,4.3
Luxilon Big Banger Original 130/16,40,Fast,Polyester,187.5,58.9,4.8
Luxilon Big Banger Rough 130/16,40,Fast,Polyester,188.6,62.8,4.4
Luxilon Big Banger Timo 17 (1.22),40,Fast,Polyester,178.9,56.8,3.9
Luxilon Big Banger TiMO 17L (1.17),40,Fast,Polyester,164.6,59.4,4.4
Luxilon Big Banger Timo 18 (1.10),40,Fast,Polyester,168.6,55.0,3.6
Luxilon Big Banger XP 125/16L,40,Fast,Polyester,190.3,55.1,4.1
Luxilon Big Banger XP 15L (1.38),40,Fast,Polyester,209.7,55.3,3.6
Tourna Big Hitter 16,40,Fast,Polyester,209.7,46.4,
Tourna Big Hitter Black 7 17,40,Fast,Polyester,158.3,46.7,6.3
Tourna Big Hitter Blue 16,40,Fast,Polyester,208.0,45.6,
Tourna Big Hitter Blue 17,40,Fast,Polyester,208.0,44.0,4.9
Tourna Big Hitter Blue Rough 16,40,Fast,Polyester,192.0,54.7,3.4
Tourna Big Hitter Blue Rough 17,40,Fast,Polyester,176.6,60.3,3.2
Tourna Big Hitter Silver 17,40,Fast,Polyester,167.4,51.7,5.4
Tourna Big Hitter Silver Rough 16,40,Fast,Polyester,170.3,58.0,4.5
Tourna Big Hitter Silver Rough 17,40,Fast,Polyester,169.7,53.9,4.1
Weiss Cannon Black 5 Edge 17 (1.24),40,Fast,Polyester,181.7,56.9,4.7
Tecnifibre Black Code 16,40,Fast,Polyester,221.2,45.8,
Tecnifibre Black Code 17,40,Fast,Polyester,208.6,50.0,4.2
Tecnifibre Black Code 18,40,Fast,Polyester,181.7,51.2,4.6
Tecnifibre Black Code 4S 17 (1.25),40,Fast,Polyester,186.9,48.1,9.8
Alien Black Diamond 16,40,Fast,Polyester,152.6,61.3,4.5
IsoSpeed Black Fire 17,40,Fast,Polyester,176.6,50.6,5.6
Kirschbaum Black Shark 16 (1.30),40,Fast,Polyester,184.0,56.9,5.4
Kirschbaum Black Shark 17 (1.25),40,Fast,Polyester,177.2,55.5,5.8
Polyfibre Black Venom 16 (1.30),40,Fast,Polyester,159.4,60.8,4.3
Polyfibre Black Venom 16L (1.25),40,Fast,Polyester,145.7,64.3,
Dunlop Black Widow 16,40,Fast,Polyester,169.7,45.2,5.2
Dunlop Black Widow 17,40,Fast,Polyester,199.5,40.0,5.4
Tourna Black Zone 16,40,Fast,Polyester,184.6,38.8,5.6
Boris Becker Bomber 16,40,Fast,Polyester,169.2,59.2,5.1
Boris Becker Bomber 17,40,Fast,Polyester,152.6,58.3,
One Strings Carbon NRG 16,40,Fast,Polyester,153.2,51.4,5.1
One Strings Carbon Tour 17 (1.25),40,Fast,Polyester,213.7,40.4,
Poly Star Classic 16 (1.30),40,Fast,Polyester,168.6,58.2,4.2
Poly Star Classic 16L (1.25),40,Fast,Polyester,149.7,59.2,4.4
Poly Star Classic 17 (1.20),40,Fast,Polyester,138.3,65.3,4.0
Pacific Classic Natural Gut 16,40,Fast,Gut,89.7,19.9,2.8
MSV Co.-Focus 16L,40,Fast,Polyester,157.2,60.7,4.2
Polyfibre Cobra 17/1.20,40,Fast,Polyester,125.2,65.4,3.6
