String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),62,Medium,Polyester,324.6,15.4,
Luxilon 4G 16L (1.25),62,Medium,Polyester,298.3,16.8,3.9
Luxilon 4G Rough 16L,62,Medium,Polyester,252.0,22.9,4.2
Luxilon 4G S 15,62,Medium,Polyester,365.8,16.6,
Luxilon 4G Soft 1.25,62,Medium,Polyester,251.5,22.8,6.7
Double AR 666 (1.30),62,Medium,Nylon,180.0,22.1,5.8
Gosen A.K. Control 16,62,Medium,Nylon,184.6,20.0,5.4
Babolat Addiction 16,62,Medium,Nylon,207.5,16.6,3.1
Babolat Addiction 17,62,Medium,Nylon,184.6,17.1,2.6
Luxilon Adrenaline 16,62,Medium,Polyester,273.7,35.4,3.6
Luxilon Adrenaline 16L/1.25,62,Medium,Polyester,255.5,37.0,3.5
Luxilon Adrenaline 17/1.20,62,Medium,Polyester,276.0,33.2,2.9
Luxilon Adrenaline Rough 16L/1.25,62,Medium,Polyester,260.6,37.1,3.3
Gosen AK Pro 16,62,Medium,Nylon,193.7,20.2,4.3
Gosen AK Pro 17,62,Medium,Nylon,192.0,19.2,4.4
Luxilon ALU Power 125/16L,62,Medium,Polyester,260.0,36.8,5.8
Luxilon ALU Power Feel 18/1.20,62,Medium,Polyester,216.0,36.9,5.4
Luxilon Alu Power Soft 1.25,62,Medium,Polyester,228.6,30.9,6.9
Klip Armour Pro 16/1.30,62,Medium,Gut,106.3,11.9,1.4
Gamma Asterisk 16,62,Medium,Nylon,178.9,21.2,3.8
Gamma Asterisk Spin 16,62,Medium,Nylon,178.3,22.3,3.9
Gamma Asterisk Tour 16,62,Medium,Nylon/Zyex,193.7,20.2,3.4
Pacific ATP Poly Power Pro 16L,62,Medium,Polyester,250.3,44.3,5.0
Babolat Attraction 16,62,Medium,Nylon/Polyurethane,189.7,18.4,2.7
IsoSpeed Axon Mono 16L,62,Medium,Polyester,261.7,29.4,3.2
IsoSpeed Axon Multi 16L,62,Medium,Nylon/Polyolefin,142.9,27.2,3.0
Babolat Ballistic Polymono 16,62,Medium,Polyester,287.5,39.8,4.7
Solinco Barb Wire 16,62,Medium,Polyester,282.3,34.3,4.4
Solinco Barb Wire 17 (1.20),62,Medium,Polyester,218.9,40.8,4.9
Prince Beast XP 16,62,Medium,Polyester,252.0,36.0,3.9
Luxilon Big Banger Ace 18 (1.12),62,Medium,Polyester,252.6,38.0,4.0
Luxilon Big Banger ALU Power Fluoro 17,62,Medium,Polyester,256.6,36.4,
Luxilon Big Banger ALU Power Spin 127/16,62,Medium,Polyester,253.2,38.3,4.3
Luxilon Big Banger Original 130/16,62,Medium,Polyester,265.7,40.4,4.8
Luxilon Big Banger Rough 130/16,62,Medium,Polyester,276.0,37.4,4.4
Luxilon Big Banger Timo 17 (1.22),62,Medium,Polyester,277.7,33.9,3.9
Luxilon Big Banger TiMO 17L (1.17),62,Medium,Polyester,237.2,38.5,4.4
Luxilon Big Banger Timo 18 (1.10),62,Medium,Polyester,226.3,39.9,3.6
Luxilon Big Banger XP 125/16L,62,Medium,Polyester,257.2,39.7,4.1
Luxilon Big Banger XP 15L (1.38),62,Medium,Polyester,308.0,38.5,3.6
Tourna Big Hitter 16,62,Medium,Polyester,288.0,34.3,
Tourna Big Hitter Black 7 17,62,Medium,Polyester,214.9,44.7,6.3
Tourna Big Hitter Blue 16,62,Medium,Polyester,289.8,33.7,
Tourna Big Hitter Blue 17,62,Medium,Polyester,272.0,32.1,4.9
Tourna Big Hitter Blue Rough 16,62,Medium,Polyester,281.8,31.6,3.4
Tourna Big Hitter Blue Rough 17,62,Medium,Polyester,265.2,34.6,3.2
Tourna Big Hitter Silver 17,62,Medium,Polyester,214.9,44.9,5.4
Tourna Big Hitter Silver Rough 16,62,Medium,Polyester,269.2,34.8,4.5
Tourna Big Hitter Silver Rough 17,62,Medium,Polyester,244.0,37.9,4.1
Weiss Cannon Black 5 Edge 17 (1.24),62,Medium,Polyester,265.2,26.7,4.7
Tecnifibre Black Code 16,62,Medium,Polyester,296.0,31.0,
Tecnifibre Black Code 17,62,Medium,Polyester,324.6,31.9,4.2
Tecnifibre Black Code 18,62,Medium,Polyester,247.5,36.1,4.6
Tecnifibre Black Code 4S 17 (1.25),62,Medium,Polyester,220.0,22.5,9.8
Alien Black Diamond 16,62,Medium,Polyester,239.5,45.3,4.5
IsoSpeed Black Fire 17,62,Medium,Polyester,265.7,33.9,5.6
Kirschbaum Black Shark 16 (1.30),62,Medium,Polyester,283.5,30.2,5.4
Kirschbaum Black Shark 17 (1.25),62,Medium,Polyester,268.0,29.4,5.8
Polyfibre Black Venom 16 (1.30),62,Medium,Polyester,247.5,51.3,4.3
Polyfibre Black Venom 16L (1.25),62,Medium,Polyester,239.5,50.7,
Dunlop Black Widow 16,62,Medium,Polyester,234.3,37.9,5.2
Dunlop Black Widow 17,62,Medium,Polyester,253.2,35.1,5.4
Tourna Black Zone 16,62,Medium,Polyester,232.0,28.0,5.6
Boris Becker Bomber 16,62,Medium,Polyester,258.3,40.2,5.1
Boris Becker Bomber 17,62,Medium,Polyester,229.7,44.6,
One Strings Carbon NRG 16,62,Medium,Polyester,232.6,39.0,5.1
One Strings Carbon Tour 17 (1.25),62,Medium,Polyester,273.2,21.3,
Poly Star Classic 16 (1.30),62,Medium,Polyester,249.2,53.5,4.2
Poly Star Classic 16L (1.25),62,Medium,Polyester,244.6,49.3,4.4
Poly Star Classic 17 (1.20),62,Medium,Polyester,232.0,51.9,4.0
Pacific Classic Natural Gut 16,62,Medium,Gut,90.9,12.6,2.8
MSV Co.-Focus 16L,62,Medium,Polyester,236.6,41.4,4.2
Polyfibre Cobra 17/1.20,62,Medium,Polyester,222.3,49.0,3.6
Mantis Comfort Poly 16,62,Medium,Polyester,288.0,37.2,4.8
Dunlop Comfort Poly 17,62,Medium,Polyester,303.5,31.6,4.5
Mantis Comfort Synthetic 16,62,Medium,Nylon,180.6,19.8,3.8
Dunlop Comfort Synthetic 16,62,Medium,Nylon,207.5,17.8,4.1
Dunlop Comfort Synthetic 17,62,Medium,Nylon,212.6,16.3,
Kirschbaum Competition 16/1.30,62,Medium,Polyester,270.9,35.5,4.9
Kirschbaum Competition 17 (1.25),62,Medium,Polyester,286.9,35.7,4.5
Kirschbaum Competition 17L (1.20),62,Medium,Polyester,226.3,41.0,4.1
Gosen Compositemaster I 16,62,Medium,Nylon,192.6,19.3,4.2
Gosen Compositemaster II 16,62,Medium,Nylon,173.2,22.6,4.5
Babolat Conquest 16,62,Medium,Nylon,206.9,25.8,4.3
IsoSpeed Control 16,62,Medium,Nylon/Polyolefin,167.4,21.8,
IsoSpeed Control Classic 16,62,Medium,Polyolefin,144.6,24.3,2.3
Topspin Cyber Blue 16,62,Medium,Polyester,225.7,43.8,5.8
Topspin Cyber Blue 17,62,Medium,Polyester,224.0,44.7,5.1
Topspin Cyber Flash 16,62,Medium,Polyester,226.3,46.4,4.8
Topspin Cyber Flash 17,62,Medium,Polyester,191.5,54.4,4.2
Topspin Cyber Flash 17L,62,Medium,Polyester,185.2,55.8,4.6
Volkl Cyclone 16,62,Medium,Polyester,245.2,41.8,6.2
Volkl Cyclone 17,62,Medium,Polyester,237.7,44.0,5.8
Volkl Cyclone 18,62,Medium,Polyester,231.5,42.1,7.1
Volkl Cyclone 19 (1.10),62,Medium,Polyester,213.2,31.5,8.2
Volkl Cyclone Tour 17 (1.25),62,Medium,Polyester,228.6,41.6,6.1
Double AR Diablo (1.24),62,Medium,Polyester,217.2,47.5,7.4
Double AR Diablo (1.31),62,Medium,Polyester,216.0,48.2,7.7
Dunlop DNA 16 (1.30),62,Medium,Nylon,189.2,22.4,3.6
Dunlop DNA 17 (1.22),62,Medium,Nylon,165.7,24.8,4.1
Babolat Duralast 16,62,Medium,Polyester,261.2,43.7,
Babolat Duralast 17,62,Medium,Polyester,296.0,37.6,
Tecnifibre Duramix HD 16,62,Medium,Nylon/Polyester,208.6,27.0,2.2
Tecnifibre Duramix HD 17,62,Medium,Nylon/Polyester,209.7,25.5,1.7
Ashaway Dynamite 17,62,Medium,Nylon/Zyex,151.4,24.1,3.0
Ashaway Dynamite Soft 17,62,Medium,Nylon/Zyex,141.2,25.1,2.6
Ashaway Dynamite Soft 18,62,Medium,Nylon/Zyex,133.7,24.1,
Ashaway Dynamite WB 16,62,Medium,Nylon/Zyex,153.2,27.8,3.3
Tecnifibre E-Matrix 16,62,Medium,Nylon/Polyurethane,176.6,16.8,2.7
Tecnifibre E-Matrix 17,62,Medium,Nylon,177.2,16.1,2.4
Luxilon Element 1.30,62,Medium,Polyester,241.7,33.6,6.6
Wilson Enduro Gold 16,62,Medium,Polyester,258.9,42.4,
Wilson Enduro Mono 16L,62,Medium,Polyester,280.0,37.2,
